genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.12	plpp0011	VBILegPne27771_0012	Q5WSD5	11016	11267	+	252		hypothetical protein	FIG00760050	PLF_445_00047094	PGF_02069651			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.13	plpp0012	VBILegPne27771_0013	Q5WSD4	11272	12294	+	1023		Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)	FIG00001002	PLF_445_00003079	PGF_05493644		2.7.7.73|Sulfur carrier protein ThiS adenylyltransferase	00730|Thiamine metabolism
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.14	plpp0013	VBILegPne27771_0014	Q5WSD3	12291	13352	+	1062		hypothetical protein	FIG00760454	PLF_445_00003450	PGF_02069765			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.15	plpp0014	VBILegPne27771_0015	Q5WSD2	13345	14379	+	1035		hypothetical protein	FIG00514618	PLF_445_00003331	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.16	plpp0015	VBILegPne27771_0016	Q5WSD1	14492	14677	+	186		hypothetical protein	FIG00758973	PLF_445_00004120	PGF_02070147			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.17	plpp0016	VBILegPne27771_0017	Q5WSD0	14712	14972	+	261		hypothetical protein	FIG00638284	PLF_445_00004123	PGF_00144920			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.18	plpp0017	VBILegPne27771_0018	Q5WSC9	14997	15743	+	747		IncF plasmid conjugative transfer surface exclusion protein TraT	FIG00026433	PLF_445_00021405	PGF_00013946			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.19	plpp0018	VBILegPne27771_0019	Q5WSC8	15837	16181	+	345		hypothetical protein	FIG00638284	PLF_445_00003559	PGF_00117595			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.20	plpp0019	VBILegPne27771_0020	Q5WSC7	16301	16657	+	357		hypothetical protein	FIG00638284	PLF_445_00021950	PGF_04638433			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.21	plpp0020	VBILegPne27771_0021	Q5WSC6	16712	17758	+	1047		Mobile element protein	FIG01306568	PLF_445_00002863	PGF_01000105			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.22	plpp0021	VBILegPne27771_0022	Q5X160	17755	18549	+	795		Mobile element protein	FIG01306568	PLF_445_00002907	PGF_01000105			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.23	plpp0022	VBILegPne27771_0023	Q5WSC4	18713	19036	+	324		IncF plasmid conjugative transfer pilin protein TraA	FIG00638284	PLF_445_00004704	PGF_02070454			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.24	plpp0023	VBILegPne27771_0024	Q5WSC3	19050	19316	+	267		IncF plasmid conjugative transfer pilus assembly protein TraL		PLF_445_00006102	PGF_02071271			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.25	plpp0024	VBILegPne27771_0025	Q5WSC2	19321	19878	+	558		IncF plasmid conjugative transfer pilus assembly protein TraE	FIG00003438	PLF_445_00004582	PGF_02070424			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.26	plpp0025	VBILegPne27771_0026	Q5WSC1	19875	20594	+	720		IncF plasmid conjugative transfer pilus assembly protein TraK	FIG00019420	PLF_445_00004584	PGF_02070426			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.27	plpp0026	VBILegPne27771_0027	Q5WSC0	20612	22063	+	1452		IncF plasmid conjugative transfer pilus assembly protein TraB	FIG00003135	PLF_445_00003205	PGF_02069638			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.28	plpp0027	VBILegPne27771_0028	Q5WSB9	22056	22283	+	228		IncF plasmid conjugative transfer pilus assembly protein TraV	FIG00761358	PLF_445_00004727	PGF_02070472			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.29	plpp0028	VBILegPne27771_0029	Q5WSB8	22313	24889	+	2577		IncF plasmid conjugative transfer pilus assembly protein TraC	FIG00020859	PLF_445_00003122	PGF_00013871			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.30	plpp0029	VBILegPne27771_0030	Q5WSB7	24879	25214	+	336		IncF plasmid conjugative transfer protein TrbI	FIG00759974	PLF_445_00004721	PGF_02070468			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.31	plpp0030	VBILegPne27771_0031	Q5WSB6	25211	25837	+	627		IncF plasmid conjugative transfer pilus assembly protein TraW	FIG00003560	PLF_445_00004585	PGF_02070427			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.32	plpp0031	VBILegPne27771_0032	Q5WSB5	25849	26844	+	996		IncF plasmid conjugative transfer pilus assembly protein TraU	FIG00023232	PLF_445_00003206	PGF_00615364			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.33	plpp0032	VBILegPne27771_0033	Q5WSB4	26861	27523	+	663		IncF plasmid conjugative transfer protein TrbC	FIG01304822	PLF_445_00004042	PGF_04845491			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.34	plpp0033	VBILegPne27771_0034	Q5WSB3	27552	29315	+	1764		IncF plasmid conjugative transfer protein TraN	FIG00021392	PLF_445_00004588	PGF_02913871			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.35	plpp0034	VBILegPne27771_0035	Q5WSB2	29312	30100	+	789		IncF plasmid conjugative transfer pilus assembly protein TraF	FIG00003444	PLF_445_00004583	PGF_02070425			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.36	plpp0035	VBILegPne27771_0036	Q5WSB1	30097	30594	+	498		IncF plasmid conjugative transfer protein TrbB	FIG00020646	PLF_445_00003814	PGF_02069816			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.37	plpp0036	VBILegPne27771_0037	Q5WSB0	30618	31988	+	1371		IncF plasmid conjugative transfer pilus assembly protein TraH	FIG00003252	PLF_445_00002996	PGF_08972330			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.38	plpp0037	VBILegPne27771_0038	Q5WSA9	31985	34744	+	2760		IncF plasmid conjugative transfer protein TraG	FIG00003539	PLF_445_00004587	PGF_00013915			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.39	plpp0038	VBILegPne27771_0039	Q5WSA8	34823	36826	+	2004		IncF plasmid conjugative transfer protein TraD	FIG00006187	PLF_445_00004586	PGF_09290469			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.40	plpp0039	VBILegPne27771_0040	Q5WSA7	36845	42715	+	5871		IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI	FIG00014896	PLF_445_00004581	PGF_10387734			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.41	plpp0040	VBILegPne27771_0041	Q5WSA6	42895	43176	+	282		hypothetical protein	FIG00638284	PLF_445_00006896	PGF_02071887			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.42	plpp0041	VBILegPne27771_0042	Q5WSA5	43309	43629	-	321		hypothetical protein	FIG00758401	PLF_445_00004720	PGF_02070467			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.43	plpp0042	VBILegPne27771_0043	Q5WSA4	43620	44069	-	450		hypothetical protein	FIG00758027	PLF_445_00004719	PGF_02070465			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.44	plpp0043	VBILegPne27771_0044	Q5WSA3	44445	44891	+	447		hypothetical protein	FIG00759650	PLF_445_00004695	PGF_02070450			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.45	plpp0044	VBILegPne27771_0045	Q5WSA2	44933	45136	+	204		hypothetical protein	FIG00638284	PLF_445_00006895	PGF_02071886			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.46	plpp0046	VBILegPne27771_0046	Q5WSA0	45695	46039	+	345		hypothetical protein	FIG00638284	PLF_445_00006894	PGF_02071885			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.47	plpp0047	VBILegPne27771_0047	Q5WS99	46327	46731	-	405		Putative antirestriction protein	FIG00455304	PLF_445_00005090	PGF_02070695			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.48	plpp0048	VBILegPne27771_0048	Q5WS98	46854	47477	-	624		hypothetical protein	FIG00638284	PLF_445_00003874	PGF_02069999			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.49		VBILegPne27771_0049		47614	47727	-	114		hypothetical protein		PLF_445_00004484	PGF_02070369			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.50	plpp0049	VBILegPne27771_0050	Q5WS97	47722	48621	+	900		Abortive infection bacteriophage resistance protein	FIG01665576	PLF_445_00004012	PGF_02198706			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.51	plpp0050	VBILegPne27771_0051	Q5WS96	48703	49233	-	531		Protein QmcA (possibly involved in integral membrane quality control)	FIG00000531	PLF_445_00003537	PGF_00634936			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.52	plpp0051	VBILegPne27771_0052	Q5WS95	49324	52371	-	3048		Transposase	FIG00638284	PLF_445_00003009	PGF_02932429			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.53	plpp0052	VBILegPne27771_0053	Q5WS94	52569	53126	+	558		Tn5045 resolvase	FIG01583106	PLF_445_00003224	PGF_00056959			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.54	plpp0053	VBILegPne27771_0054	Q5WS93	53129	54202	+	1074		hypothetical protein	FIG00904518	PLF_445_00003562	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.55	plpp0054	VBILegPne27771_0055	Q5WS92	54192	55985	+	1794		Efflux ABC transporter, permease/ATP-binding protein	FIG01956052	PLF_445_00003393	PGF_03192541			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.56	plpp0055	VBILegPne27771_0056	Q5WS91	56024	56383	-	360		Protein QmcA (possibly involved in integral membrane quality control)	FIG00000531	PLF_445_00003537	PGF_00634936			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.57	plpp0056	VBILegPne27771_0057	Q5WS90	56410	57198	-	789		hypothetical protein		PLF_445_00004366	PGF_02070283			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.58	plpp0057	VBILegPne27771_0058	Q5WS89	57242	57415	-	174		hypothetical protein	FIG00638284	PLF_445_00004929	PGF_02070634			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.59	plpp0058	VBILegPne27771_0059	Q5WS88	57472	57702	-	231		hypothetical protein	FIG00638284	PLF_445_00004930	PGF_02070635			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.60	plpp0059	VBILegPne27771_0060	Q5WS87	57783	58091	-	309		hypothetical protein	FIG00638284	PLF_445_00004931	PGF_00281596			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.61	plpp0061	VBILegPne27771_0061	Q5WS85	58506	58988	+	483		hypothetical protein		PLF_445_00053361	PGF_01051533			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.62	plpp0062	VBILegPne27771_0062	Q5WS84	59206	59916	+	711		hypothetical protein		PLF_445_00003573	PGF_02069836			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.63	plpp0063	VBILegPne27771_0063	Q5WS83	59945	60844	+	900		hypothetical protein		PLF_445_00003550	PGF_02069820			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.64	plpp0064	VBILegPne27771_0064	Q5WS82	60896	61381	+	486		hypothetical protein	FIG00638284	PLF_445_00003165	PGF_02069606			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.65	plpp0065	VBILegPne27771_0065	Q5WS81	61462	61791	+	330		hypothetical protein	FIG00638284	PLF_445_00003866	PGF_02069993			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.66	plpp0066	VBILegPne27771_0066	Q5WS80	62005	63480	+	1476		ABC transporter ATP-binding protein Uup, erythromycin resistance	FIG00759169	PLF_445_00003294	PGF_02067574			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.67	plpp0067	VBILegPne27771_0067	Q5WS79	63461	65260	+	1800		Efflux ABC transporter, permease/ATP-binding protein	FIG00760502	PLF_445_00000022	PGF_03192541			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.68	plpp0068	VBILegPne27771_0068	Q5WS78	65253	66035	+	783		hypothetical protein	FIG00638284	PLF_445_00003147	PGF_01437684			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.69	plpp0069	VBILegPne27771_0069	Q5WS77	66036	66995	+	960		hypothetical protein	FIG00758381	PLF_445_00013587	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.70	plpp0070	VBILegPne27771_0070	Q5WS76	66992	68476	+	1485		Acetyltransferase, GNAT family	FIG00989082	PLF_445_00000043	PGF_10519603			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.71	plpp0071	VBILegPne27771_0071	Q5WS75	68473	68685	+	213		hypothetical protein	FIG01825176	PLF_445_00003696	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.72	plpp0072	VBILegPne27771_0072	Q5WS74	68678	69250	+	573		hypothetical protein	FIG00893560	PLF_445_00003556	PGF_02069826			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.73	plpp0073	VBILegPne27771_0073	Q5WS73	69327	70271	+	945		Transcriptional regulator, MerR family, mercury resistance	FIG00003460	PLF_445_00000318	PGF_02069620			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.74	plpp0074	VBILegPne27771_0074	Q5WS72	70485	73598	+	3114		hypothetical protein	FIG00757907	PLF_445_00003682	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.75	plpp0075	VBILegPne27771_0075	Q5WS71	73929	74351	+	423		Transcriptional regulator, MecI family	FIG01317294	PLF_445_00001206	PGF_04107670			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.76	plpp0076	VBILegPne27771_0076	Q5WS70	74354	76276	+	1923		FtsI-like protein lpg1619	FIG00046929	PLF_445_00004026	PGF_12906036			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.77	plpp0077	VBILegPne27771_0077	Q5WS69	76344	77144	+	801		Class D beta-lactamase (EC 3.5.2.6)	FIG00068809	PLF_445_00001171	PGF_02333669	GO:0008800|beta-lactamase activity	3.5.2.6|Beta-lactamase	00311|Penicillin and cephalosporin biosynthesis;00312|beta-Lactam resistance
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.78	plpp0078	VBILegPne27771_0078	Q5WS68	77148	78728	+	1581		Bll5160 protein	FIG00638284	PLF_445_00003631	PGF_03078531			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.79	plpp0079	VBILegPne27771_0079	Q5WS67	78732	79628	+	897		IroE protein	FIG00016132	PLF_445_00003645	PGF_02904843			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.80	plpp0080	VBILegPne27771_0080	Q5WS66	79771	80133	+	363		hypothetical protein	FIG00638284	PLF_445_00003148	PGF_00183222			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.81	plpp0081	VBILegPne27771_0081	Q5WS65	80159	81325	+	1167		Dihydrofolate reductase homolog	FIG01546383	PLF_445_00002490	PGF_01187736			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.82	plpp0082	VBILegPne27771_0082	Q5WS64	81354	81824	-	471		Acetyltransferase, GNAT family	FIG01315364	PLF_445_00003509	PGF_10519603			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.83	plpp0083	VBILegPne27771_0083	Q5WS63	81973	83481	+	1509		Hyphotheical protein	FIG00629156	PLF_445_00002902	PGF_00012992			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.84	plpp0084	VBILegPne27771_0084	Q5WS62	83532	84107	+	576		Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	FIG00133002	PLF_445_00003074	PGF_00045835	GO:0004733|pyridoxamine-phosphate oxidase activity	1.4.3.5|Pyridoxal 5'-phosphate synthase	00750|Vitamin B6 metabolism
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.85	plpp0085	VBILegPne27771_0085	Q5WS61	84116	84427	+	312		Bsu YqfO NIF3/CutA domain	FIG01451346	PLF_445_00003059	PGF_00413338			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.86	plpp0086	VBILegPne27771_0086	Q5WS60	84483	84665	+	183		hypothetical protein	FIG00638284	PLF_445_00004209	PGF_02070215			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.87	plpp0087	VBILegPne27771_0087	Q5WS59	84759	85634	-	876		Hydrolase, alpha/beta fold family	FIG00638284	PLF_445_00003811	PGF_06574151			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.88	plpp0088	VBILegPne27771_0088	Q5WS58	85692	86453	-	762		Transcriptional regulator, MerR family	FIG01502176	PLF_445_00003065	PGF_00057506			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.89		VBILegPne27771_0089		86437	86562	-	126		hypothetical protein		PLF_445_00004980	PGF_02070682			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.90	plpp0089	VBILegPne27771_0090	Q5WS57	86666	86953	-	288		mRNA interferase RelE	FIG00557621	PLF_445_00047455	PGF_00400801			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.91	plpp0090	VBILegPne27771_0091	Q5WS56	86943	87194	-	252		RelB/StbD replicon stabilization protein (antitoxin to RelE/StbE)	FIG01304488	PLF_445_00003540	PGF_00047447			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.92	plpp0091	VBILegPne27771_0092	Q5WS55	87443	87910	-	468		hypothetical protein	FIG00638284	PLF_445_00003875	PGF_02070000			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.93	plpp0092	VBILegPne27771_0093	Q5WS54	88529	89350	-	822		weak similarity to aminoglycoside nucleotidyltransferase	FIG00067777	PLF_445_00002777	PGF_02059652			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.94	plpp0093	VBILegPne27771_0094	Q5WS53	89334	89771	-	438		hypothetical protein	FIG00629156	PLF_445_00003690	PGF_00456604			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.95	plpp0094	VBILegPne27771_0095	Q5WS52	89758	90072	-	315		hypothetical protein	FIG00638284	PLF_445_00003087	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.96	plpp0095	VBILegPne27771_0096	Q5WS51	90624	91505	-	882		hypothetical protein		PLF_445_00002819	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.97	plpp0096	VBILegPne27771_0097	Q5WS50	91618	92943	-	1326		Cyanophycin synthetase (EC 6.-.-.-)	FIG00003542	PLF_445_00003199	PGF_02069636		6.-.-.-|Ligases	00540|Lipopolysaccharide biosynthesis
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.98	plpp0097	VBILegPne27771_0098	Q5WS49	93135	93827	+	693	lrpR	Two-component transcriptional response regulator, OmpR family	FIG00001247	PLF_445_00003075	PGF_07420062			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.99	plpp0098	VBILegPne27771_0099	Q5WS48	94067	95890	+	1824		hypothetical protein	FIG00638284	PLF_445_00003014	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.100	plpp0099	VBILegPne27771_0100	Q5WS47	95894	97498	-	1605	lskS	Two-component system sensor histidine kinase	FIG00450955	PLF_445_00003077	PGF_12866234			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.101	plpp0100	VBILegPne27771_0101	Q5WS46	97597	98253	-	657		hypothetical protein	FIG00638284	PLF_445_00003093	PGF_02069577			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.102	plpp0101	VBILegPne27771_0102	Q5WS45	98341	98559	-	219		hypothetical protein	FIG00638284	PLF_445_00003695	PGF_02069898			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.103	plpp0102	VBILegPne27771_0103	Q5WS44	98563	98859	-	297		hypothetical protein	FIG01689748	PLF_445_00004367	PGF_02070284			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.104	plpp0103	VBILegPne27771_0104	Q5WS43	99016	99993	+	978		hypothetical protein	FIG00638284	PLF_445_00004105	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.105	plpp0104	VBILegPne27771_0105	Q5WS42	100101	100793	+	693		Transcriptional regulator, DeoR family	FIG00743946	PLF_445_00004074	PGF_02060044			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.106	plpp0105	VBILegPne27771_0106	Q5WS41	100869	101237	+	369		hypothetical protein	FIG00638284	PLF_445_00003867	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.107	plpp0106	VBILegPne27771_0107	Q5WS40	101306	101668	+	363		hypothetical protein	FIG01412957	PLF_445_00003683	PGF_08225224			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.108	plpp0107	VBILegPne27771_0108	Q5WS39	101692	102153	+	462		hypothetical protein	FIG01518746	PLF_445_00004724	PGF_02070470			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.109	plpp0108	VBILegPne27771_0109	Q5WS38	102176	102919	+	744		probable DNA alkylation repair enzyme	FIG01415411	PLF_445_00004742	PGF_09728728			
